farm_type,farm_name,season,boundary_descriptor,boundary_age,insect_key_number,new_insect_key_name,sum_of_insects_100_flowers,broad_insect_category,origin,boundary_alt
Arable,Ahuriri,2021/22,One year old,NA,9,Other parasitoid wasps,0,Non-bees,Both,New
Arable,Ahuriri,2021/22,One year old,NA,10,Vespula wasps,0,Non-bees,Exotic,New
Arable,Ahuriri,2021/22,One year old,NA,11,European tube wasp,0,Non-bees,Exotic,New
Arable,Ahuriri,2021/22,One year old,NA,12,Other wasps,0,Non-bees,Both,New
Arable,Ahuriri,2021/22,One year old,NA,13,Brown blow fly,0,Non-bees,Exotic,New
Arable,Ahuriri,2021/22,One year old,NA,14,European blue blow fly,0,Non-bees,Exotic,New
Arable,Ahuriri,2021/22,One year old,NA,15,European green blow fly,0,Non-bees,Exotic,New
Arable,Ahuriri,2021/22,One year old,NA,16,NZ blue blow fly,0,Non-bees,Native,New
Arable,Ahuriri,2021/22,One year old,NA,17,Pollenia flies,0,Non-bees,Native,New
Arable,Ahuriri,2021/22,One year old,NA,18,Bronze cluster flies,0,Non-bees,Exotic,New
Arable,Ahuriri,2021/22,One year old,NA,19,Other blow flies,0,Non-bees,Exotic,New
Arable,Ahuriri,2021/22,One year old,NA,20,Grey triangle muscid fly,0,Non-bees,Native,New
Arable,Ahuriri,2021/22,One year old,NA,21,Blue muscid fly,0,Non-bees,Exotic,New
Arable,Ahuriri,2021/22,One year old,NA,22,Other muscid flies,0,Non-bees,Both,New
Arable,Ahuriri,2021/22,One year old,NA,23,Seedcorn maggot fly,0.4291845493562232,Non-bees,Exotic,New
Arable,Ahuriri,2021/22,One year old,NA,24,Three spotted fly,0,Non-bees,Exotic,New
Arable,Ahuriri,2021/22,One year old,NA,25,Striped flesh fly,0,Non-bees,Exotic,New
Arable,Ahuriri,2021/22,One year old,NA,26,Ginger blister fly,0,Non-bees,Native,New
Arable,Ahuriri,2021/22,One year old,NA,27,Small ginger blister fly,0,Non-bees,Exotic,New
Arable,Ahuriri,2021/22,One year old,NA,28,Grey-black bristle flies,0,Non-bees,Native,New
Arable,Ahuriri,2021/22,One year old,NA,32,Other bristle flies,0,Non-bees,Both,New
Arable,Ahuriri,2021/22,One year old,NA,33,Drone fly,0.4291845493562232,Non-bees,Exotic,New
Arable,Ahuriri,2021/22,One year old,NA,34,NZ black hover fly,0.4291845493562232,Non-bees,Native,New
Arable,Ahuriri,2021/22,One year old,NA,35,NZ orange hover fly,7.725321888412017,Non-bees,Native,New
Arable,Ahuriri,2021/22,One year old,NA,36,NZ blue hover fly,0,Non-bees,Native,New
Arable,Ahuriri,2021/22,One year old,NA,37,Spotted hover fly,0,Non-bees,Native,New
Arable,Ahuriri,2021/22,One year old,NA,39,Streaktail hover fly,0,Non-bees,Native,New
Arable,Ahuriri,2021/22,One year old,NA,40,Black bulb hover fly,0,Non-bees,Exotic,New
Arable,Ahuriri,2021/22,One year old,NA,41,Other hover flies,0,Non-bees,Both,New
Arable,Ahuriri,2021/22,One year old,NA,42,Globetail hover fly,0,Non-bees,Exotic,New
Arable,Ahuriri,2021/22,One year old,NA,43,Green soldier fly,0,Non-bees,Native,New
Arable,Ahuriri,2021/22,One year old,NA,44,Scaptia horse flies,0,Non-bees,Native,New
Arable,Ahuriri,2021/22,One year old,NA,47,March fly,0,Non-bees,Native,New
Arable,Ahuriri,2021/22,One year old,NA,48,Flower longhorn beetle,0,Non-bees,Native,New
Arable,Ahuriri,2021/22,One year old,NA,49,Eleven spotted ladybird,0,Non-bees,Exotic,New
Arable,Ahuriri,2021/22,One year old,NA,52,Other ladybirds,0,Non-bees,Exotic,New
Arable,Ahuriri,2021/22,One year old,NA,54,Cabbage white butterfly,0,Non-bees,Exotic,New
Arable,Ahuriri,2021/22,One year old,NA,55,Yellow admiral butterfly,0,Non-bees,Native,New
Arable,Ahuriri,2021/22,One year old,NA,56,Red admiral butterfly,0,Non-bees,Native,New
Arable,Ahuriri,2021/22,One year old,NA,57,Common copper butterfly,0,Non-bees,Native,New
Arable,Ahuriri,2021/22,One year old,NA,59,Magpie moth,0,Non-bees,Exotic,New
Arable,Ahuriri,2021/22,One year old,NA,59,Other moths,0,Non-bees,Both,New
Arable,Ahuriri,2021/22,One year old,NA,60,Other insects,0,Non-bees,Both,New
Arable,Ahuriri,2022/23,Control farm,NA,1,Honey bee,0.37174721189591076,Honey bees,Exotic,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,2,Buff-tailed bumble bee,0,Wild bees,Exotic,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,3,Other bumblebees,0,Wild bees,Exotic,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,4,Lasioglossum bee,0,Wild bees,Native,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,5,Black Leioproctus bees,0,Wild bees,Exotic,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,6,Orange Leioproctus bee,0,Wild bees,Native,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,7,Hylaeus bees,0,Wild bees,Native,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,8,Ichneumonid wasps,0,Non-bees,Exotic,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,9,Other parasitoid wasps,0,Non-bees,Both,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,10,Vespula wasps,0,Non-bees,Exotic,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,11,European tube wasp,0,Non-bees,Exotic,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,12,Other wasps,0,Non-bees,Both,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,13,Brown blow fly,0,Non-bees,Exotic,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,14,European blue blow fly,0,Non-bees,Exotic,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,15,European green blow fly,0,Non-bees,Exotic,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,16,NZ blue blow fly,0,Non-bees,Native,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,17,Pollenia flies,0,Non-bees,Native,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,18,Bronze cluster flies,0,Non-bees,Exotic,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,19,Other blow flies,0,Non-bees,Exotic,Control farm
Arable,Ahuriri,2022/23,Control farm,NA,20,Grey triangle muscid fly,0,Non-bees,Native,Control farm
